path,old_path,status,category,subclass,v29_fate,loc_added,loc_deleted,port_unit
core/lib/protobuf_config/src/proto/config/via_wallets.proto,,A,A,via-named-embedded,,16,0,protobuf_config
core/lib/protobuf_config/src/proto/core/consensus.proto,,M,B,feature,gone,15,2,protobuf_config
core/lib/protobuf_config/src/prover_job_monitor.rs,,M,B,wiring,moved?:core/lib/config/src/configs/prover_job_monitor.rs,4,0,protobuf_config
core/lib/protobuf_config/src/secrets.rs,,M,B,feature,moved?:core/lib/basic_types/src/secrets.rs,143,3,protobuf_config
core/lib/protobuf_config/src/tests.rs,,M,B,feature,moved?:core/lib/multivm/src/pubdata_builders/tests.rs,8,10,protobuf_config
core/lib/protobuf_config/src/timestamp_asserter.rs,,A,A,unmarked-addition,gone,19,0,protobuf_config
core/lib/protobuf_config/src/via_secrets.rs,,A,A,via-named-embedded,,92,0,protobuf_config
core/lib/protobuf_config/src/via_wallets.rs,,A,A,via-named-embedded,,63,0,protobuf_config
core/lib/prover_interface/Cargo.toml,,M,B,wiring,present,3,3,prover_interface
core/lib/prover_interface/src/api.rs,,M,B,wiring,present,5,4,prover_interface
core/lib/prover_interface/src/inputs.rs,,M,B,feature,present,90,25,prover_interface
core/lib/prover_interface/src/outputs.rs,,M,B,wiring,present,6,1,prover_interface
core/lib/prover_interface/tests/job_serialization.rs,,M,B,wiring,present,5,5,prover_interface
core/lib/snapshots_applier/Cargo.toml,,M,B,wiring,identical-to-v29,0,1,snapshots_applier
core/lib/snapshots_applier/src/lib.rs,,M,B,feature,present,11,4,snapshots_applier
core/lib/snapshots_applier/src/tests/utils.rs,,M,B,wiring,present,4,0,snapshots_applier
core/lib/state/Cargo.toml,,M,B,wiring,present,0,1,state
core/lib/state/src/cache/lru_cache.rs,,M,B,wiring,present,7,0,state
core/lib/state/src/lib.rs,,M,B,wiring,present,2,1,state
core/lib/state/src/postgres/mod.rs,,M,B,feature,present,105,80,state
core/lib/state/src/postgres/tests.rs,,M,B,wiring,present,2,2,state
core/lib/state/src/rocksdb/mod.rs,,M,B,wiring,present,1,1,state
core/lib/state/src/shadow_storage.rs,,M,B,feature,identical-to-v29,49,29,state
core/lib/state/src/storage_factory.rs,,D,C,deleted-upstream-file,gone,0,250,state
core/lib/state/src/storage_factory/metrics.rs,,A,A,unmarked-addition,identical-to-v29,37,0,state
core/lib/state/src/storage_factory/mod.rs,,A,A,unmarked-addition,present,315,0,state
core/lib/state/src/storage_factory/rocksdb_with_memory.rs,,A,A,unmarked-addition,present,75,0,state
core/lib/state/src/storage_factory/snapshot.rs,,A,A,unmarked-addition,identical-to-v29,49,0,state
core/lib/state/src/test_utils.rs,,M,B,wiring,present,1,0,state
core/lib/tee_verifier/Cargo.toml,,M,B,wiring,moved?:core/node/shared_metrics/Cargo.toml,5,6,tee_verifier
core/lib/tee_verifier/src/lib.rs,,M,B,feature,moved?:core/lib/basic_types/src/lib.rs,110,66,tee_verifier
core/lib/test_contracts/Cargo.toml,core/tests/test_account/Cargo.toml,R061,B,wiring,moved?:core/node/shared_metrics/Cargo.toml,0,0,test_contracts
core/lib/test_contracts/README.md,,A,A,unmarked-addition,present,16,0,test_contracts
core/lib/test_contracts/build.rs,,A,A,unmarked-addition,present,143,0,test_contracts
core/lib/test_contracts/contract-libs/openzeppelin-contracts-v4,,A,A,unmarked-addition,identical-to-v29,1,0,test_contracts
core/lib/test_contracts/contracts/complex-upgrade/complex-upgrade.sol,etc/contracts-test-data/contracts/complex-upgrade/complex-upgrade.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/complex-upgrade/msg-sender.sol,etc/contracts-test-data/contracts/complex-upgrade/msg-sender.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/context/context.sol,etc/contracts-test-data/contracts/context/context.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/counter/counter.sol,etc/contracts-test-data/contracts/counter/counter.sol,R100,B,wiring,moved?:core/lib/test_contracts/contracts/counter/counter.sol,0,0,test_contracts
core/lib/test_contracts/contracts/counter/proxy_counter.sol,etc/contracts-test-data/contracts/counter/proxy_counter.sol,R080,B,wiring,moved?:core/lib/test_contracts/contracts/counter/proxy_counter.sol,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/Constants.sol,etc/contracts-test-data/contracts/custom-account/Constants.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/RLPEncoder.sol,etc/contracts-test-data/contracts/custom-account/RLPEncoder.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/SystemContext.sol,etc/contracts-test-data/contracts/custom-account/SystemContext.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/SystemContractsCaller.sol,etc/contracts-test-data/contracts/custom-account/SystemContractsCaller.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/TransactionHelper.sol,etc/contracts-test-data/contracts/custom-account/TransactionHelper.sol,R100,B,wiring,moved?:core/tests/ts-integration/contracts/custom-account/TransactionHelper.sol,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/Utils.sol,etc/contracts-test-data/contracts/custom-account/Utils.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/custom-account.sol,etc/contracts-test-data/contracts/custom-account/custom-account.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/custom-paymaster.sol,etc/contracts-test-data/contracts/custom-account/custom-paymaster.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/interfaces/IAccount.sol,etc/contracts-test-data/contracts/custom-account/interfaces/IAccount.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/interfaces/IContractDeployer.sol,etc/contracts-test-data/contracts/custom-account/interfaces/IContractDeployer.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/interfaces/INonceHolder.sol,etc/contracts-test-data/contracts/custom-account/interfaces/INonceHolder.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/interfaces/IPaymaster.sol,etc/contracts-test-data/contracts/custom-account/interfaces/IPaymaster.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/interfaces/IPaymasterFlow.sol,etc/contracts-test-data/contracts/custom-account/interfaces/IPaymasterFlow.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
core/lib/test_contracts/contracts/custom-account/many-owners-custom-account.sol,etc/contracts-test-data/contracts/custom-account/many-owners-custom-account.sol,R100,B,wiring,identical-to-v29,0,0,test_contracts
